_key,impressions,page_views
Argonne National Laboratory,21,0
Arizona State University,8947,3
Armis,576,0
ASIS International,47,0
Assured Information Security (AIS),0,0
AT&T Cybersecurity,0,0
Autodesk,90,0
Aviva,626,0
BAE Systems,402,8
BAE Systems Shared Services ,19,0
Baird,357,5
Baker McKenzie,101,0
Ball Aerospace,0,0
Bank of America Merrill Lynch,0,0
Barclays Investment Bank,0,0
Barclays UK,0,0
Battelle,211,0
BD,5,0
Behavox,1213,0
Bennett International Group,0,0
Best Buy,0,0
Bishop Fox,441,0
Blackstone,24,0
Bloomberg LP,278,0
BlueForce Inc.,19,0
BMO Financial Group,18,0
Boeing Intelligence & Analytics,0,0
Booz Allen Hamilton,275,0
bp,14,0
Bridgewater Associates,0,0
British Army,0,0
"BWX Technologies, Inc.",146,0
CACI International Inc,313,0
Camber Corporation - Technical Solutions Group Huntington Ingalls Industries,0,0
Capgemini,173,0
Capital Group,120,0
Cardtronics,581,0
Carrier HVAC,339,0
Caterpillar Inc.,0,0
CDW,0,0
Centauri,49,0
Centers for Disease Control and Prevention,10242,0
"CENTRA Technology, Inc",1285,0
Cerner Corporation,1019,0
CGI Federal,999,0
Change Healthcare,1438,0
Charles River Associates,0,0
Citadel,2401,0
Citizens,23,0
Citizens Bank,2125,2
Citrix,722,0
CLA (CliftonLarsonAllen),52,0
CLEAR (clearme.com),0,0
CME Group,8747,0
Cobham Advanced Electronic Solutions,128,0
Coinbase,762,0
Collins Aerospace,4209,0
CommonSpirit Health,11353,0
Commonwealth of Virginia,697,0
Compass,5,0
Concentrix,152,0
Confluent,415,0
Constellis,18,0
Context Information Security,470,0
Core4ce,142,0
Corning Incorporated,0,0
Costa Coffee,0,0
CrossCountry Consulting,5337,0
CSRA Inc,355,0
Cyren,52,0
Dartmouth-Hitchcock,6423,0
Dataminr,1250,0
Deloitte,11968,58
Deloitte Canada,0,0
Deloitte UK,0,0
Department of Energy,112,0
Dewberry,5,0
DFAS,441,0
Diebold Nixdorf,0,0
Discover Financial Services,85,0
DLA Piper,134,0
"DMI (Digital Management, LLC)",0,0
DNI (Delaware Nation Industries),0,0
DOE - Pacific Northwest National Laboratory,0,0
Doma (fka States Title),0,0
Domino's,26,0
DoorDash,119,0
"Dragos, Inc.",9,0
Drug Enforcement Administration,33968,0
Dstl,426,0
Duke Energy Corporation,2802,0
Duke University Health System,100,0
Dyson,340,0
Eagle Alliance,61,0
"Eastern Research Group, Inc. (ERG)",0,0
"ECS, for the Federal Bureau of Investigation (FBI)",0,0
Elbit Systems of America - Night Vision,10,0
Eli Lilly and Company,5433,0
Elon University,483,0
Engility Corporation,1,0
Engineering Services Network - ESN,0,0
Ensono,1,0
Enterprise,3019,0
Equifax,912,7
Exelon,339,0
Exiger,1735,0
Expedia Group,97,0
"Expedia services CZ, s.r.o",0,0
EY,73,0
FDA,578,0
Federal Aviation Administration,97905,6
Federal IT Consulting (FEDITC),0,0
Federal Reserve Bank of Richmond,1128,0
FEMA,349,0
Fidelity Investments,2848,0
First American,1433,2
First American Title,4496,0
First Command Financial Services,2075,0
First Financial Bank,9771,0
FIS,406,0
FLEETCOR,6,0
Ford Motor Company,20236,2
Forescout,85,0
Freddie Mac,0,0
FTI Consulting,29,0
G4S,134,0
GardaWorld,91,0
GE,382,0
Gen Re,23,0
General Dynamics,20,0
Georgia Tech Research Institute,368,0
GitHub,485,0
Global Affairs Canada | Affaires mondiales Canada,0,0
GSK,1497,0
Guidehouse,40909,0
Highmark Health,324,0
HSBC,245,0
Humana,24,1
Huntington National Bank,148,0
Hyland,42,0
IBM,0,0
ICF,0,0
iconectiv,1581,0
Indeed.com,0,0
Industrial Scientific,58,0
Ingram Micro,213,0
Intel Corporation,24212,1
IntelliBridge,354,0
Internal Revenue Service,27906,25
International Compliance Training,0,0
International Flavors & Fragrances,898,0
Intuit,109,0
Invesco US,1102,0
Jacobs,80,0
JPMorgan Chase & Co.,20745,3
"KBR, Inc.",2537,0
Koniag Government Services,142,0
KPMG,350,0
L3Harris Technologies,13871,0
Laurentian Bank of Canada,4709,0
Lawrence Livermore National Laboratory,0,0
Leidos,133,3
Levenhall,37,0
LexisNexis Risk Solutions,20,0
Lloyds Banking Group,0,0
Lockheed Martin,300,0
"Los Alamos National Laboratory, Triad National Security LLC",0,0
LPL Financial,30113,0
Lukos,10,0
Lumen Technologies,41496,4
"M.C. Dean, Inc.",0,0
Macquarie University,0,0
ManpowerGroup,75,0
Maxar Technologies,34,0
Mayer Brown,7123,2
McKesson,1035,4
Merck,251,12
Meridian Management Corporation,357,0
MetLife,47984,0
"Modern Technology Solutions, Inc. (MTSI)",0,0
Monash University,0,0
MoneyGram International,9887,0
MongoDB,4477,0
Motional,757,0
Motorola Solutions,6,3
MUFG,35,0
Mythics Inc.,618,0
NAB,1255,0
Nakupuna Companies,0,0
National Archives and Records Administration,7971,0
National Geospatial-Intelligence Agency,700,0
National Nuclear Security Administration (NNSA),0,0
Navy Federal Credit Union,0,0
"NBCUniversal Media, LLC",5276,0
"NCI Information Systems, Inc",25,0
NetApp,4,0
Netflix,50,0
NewDay,28,0
Newell Brands,2539,0
NGA,2301,0
NICE Ltd,0,0
Noblis,1179,0
Northern Trust Corporation,1013,0
NorthMarq,0,0
Northrop Grumman,75,0
Northrop Grumman Space Systems,0,1
Northwestern Mutual,25745,8
NortonLifeLock,43045,7
Novetta,609,0
NTT Ltd.,0,0
OCC,0,0
OneMain Financial,0,0
Organon,423,0
Pacific Gas and Electric Company,0,0
Pacific Life,7,0
Pacific Northwest National Laboratory - PNNL,0,0
PAE,1017,0
Panther Premium Logistics,298,0
Parsons Corporation,20511,0
Paysafe Group,0,0
Pension Benefit Guaranty Corporation (PBGC),0,0
PEO IEW&S ,0,0
Peraton,164,0
Peregrine Technical Solutions LLC,121,0
Perspecta,771,0
PINKERTON | Comprehensive Risk Management,0,0
PNC,653,0
Pratt & Whitney,183,0
"Precise Systems, Inc.",66,0
Procter & Gamble,46,0
Protiviti,161,0
Qualcomm,5,0
Quantcast,942,0
Quest Software,43,0
QVC,214,0
Rackspace,1246,0
Raymond James,9886,2
Redhorse Corporation,947,0
Ring,3,0
Rockwell Automation,85,0
"Royal Holloway, University of London",0,0
SAIC,758,0
Salesforce,2425,0
Sallyport Global,38,0
Santander,1021,2
Scientific Research Corporation,1116,0
Sellafield Ltd,0,0
Sempra Energy,3133,0
ServiceNow,10,2
Siemens PLM Software,131,0
Simplyhealth,0,0
Skipton Building Society,0,0
Smartronix,2,0
Snowflake,372,0
Snyk,501,0
SoFi,100,0
Software Engineering Institute | Carnegie Mellon University,0,0
Southern Company,183,0
Square,692,0
SSA,758,0
State Farm Â®,0,0
Stripe,0,0
Stroock & Stroock & Lavan LLP,1372,0
Subway,3885,0
SunTrust,7996,0
Synchrony,1407,0
System High Corporation,44,0
"Systems Planning and Analysis, Inc.",1451,0
Target,0,0
TECO Energy,7,0
Telos Corporation,394,0
Tennessee State Guard,123,0
Textron Systems,2,0
"The Aerospace Corporation, Global Partnership",0,0
The Coca-Cola Company,5854,0
The Depository Trust & Clearing Corporation (DTCC),0,0
The Home Depot,86,9
The Johns Hopkins University Applied Physics Laboratory,12,0
The Madison Square Garden Company,0,0
Thought Machine,0,0
ThycoticCentrify Corporation,0,0
TransUnion,511,0
Tri Star Engineering,172,0
Trilogy Education,46,0
TriNet,4,0
TSB Bank,28,0
Twilio Inc.,3882,2
Twitter,392,0
Two Sigma,1331,0
U.S. Bank,0,0
U.S. Office of Personnel Management (OPM),0,0
U.S. Postal Inspection Service,0,0
UICGS / Bowhead Family of Companies,0,0
United States Federal Government,0,0
United Technologies,2,0
UnitedHealth Group,8230,0
Unum,219,0
USDA,1874,0
UTC Aerospace Systems,237,0
Veriforce,58,0
Verizon Media,15,0
Victrex,97,0
Virgin Money,19,0
Vodafone,5,4
Willis Towers Watson,3445,0
"WorldWide Language Resources, LLC",74,0
"XPO Logistics, Inc.",0,0
Zillow,1,0
Zolon Tech Inc.,31,0
Zoom,150,0
EE,121,0
EFI,147,0
Egencia,22,0
3G,911,0
8x8,309,0
Aaron's,1913,0
AB Agri,0,0
Abbott Laboratories,0,0
Abercrombie & Fitch,303,0
ABN AMRO Bank,0,0
Academy Mortgage,1303,0
EGGER,1,0
eHealth,625,0
AccionLabs,0,0
eInfochips,194,0
ACCO Brands,12,0
ACDI/VOCA,270,0
ACE Cash Express,3500,0
ACEA Energia,0,0
EIS,9,0
Active Network,365,0
Elastic,565,0
Activision Blizzard,0,0
ACUITY BRANDS LIGHTING,26,0
Elavon,29,0
Elbit Systems of America,41,0
Electronic Arts,0,0
ADB,6,0
Adidas,1473,0
Adient,216,0
Elisa,16,0
Elizabeth Arden,12861,0
ADT,1382,1
Adyen,262,0
Ellucian,25,0
EmblemHealth,158,0
Emergent BioSolutions,32,0
emids Technologies,244,0
Aera Energy,183,0
Enagas,18,0
AES,83,0
Encova Insurance,0,0
Endo,6,0
Aflac,52,0
AGI,5,0
Agilent,231,0
AIB,806,0
Enedis,0,0
Air Liquide,22,0
Air Liquide USA,18,0
Akamai Technologies,2174,13
Enel,0,0
Alarm.com,0,0
Alex and Ani,377,0
Alexion,6,0
Alfa Insurance,253,0
Align Technology,0,0
Energy Transfer,77,0
Alion Science,1,0
Enexis Netbeheer BV,0,0
Alkermes,173,0
ENGIE,344,0
Alliance Data,63,0
Enova International,212,0
Enterprise Fleet Management,105,0
AllianceBernstein,6053,0
Enterprise Products Partners,2964,0
Entrata,229,0
Envestnet,0,0
Alliander,0,0
Alliant Energy,0,0
Allianz,0,0
Envestnet Yodlee,0,0
Allianz Australia,0,0
Allscripts Healthcare,403,0
EOG Resources,40,0
Allstate,834,3
Epic Games,40,0
Epsilon,20,0
Equinor,33,0
Ericsson,51,0
Alstom,18,0
Alteryx,481,0
Altice Europe,0,0
Erie Indemnity,632,0
Altice USA,39,0
ERT,12,0
Altimetrik,2,0
ESCO Group,40,0
Esri,272,0
Altisource,3,0
Essex Property Trust,277,0
Amarr,824,0
AMD,42,0
Esurance,509,0
Amdocs,43,0
Ameren Corporation,95,0
Ameresco,11,0
Euler Hermes Group,0,0
America First Credit Union,2536,0
Euroclear,0,0
European Central Bank,0,0
Eutelsat Communications,0,0
American Credit Acceptance,8,0
Evergy,94,0
American Electric Power,61,0
Everi,20,0
Eversource,60,2
American Tower,548,0
American Water,0,0
eviCore Healthcare,294,0
AmeriHealth Caritas,75,0
EVO Payments,32,0
Excellus BlueCross BlueShield,0,0
Exelon Corporation,1343,0
Exeter Finance,13,0
Ameriprise Financial,18510,0
Extreme Networks,1246,0
Amica Mutual Insurance,713,0
Extron,1178,0
Amkor Technology,207,0
F5,0,0
FactSet,0,0
Fallon Health,75,0
Fast Enterprises,24,0
Fastenal,17,0
Amobee,1099,0
Amplity Health,0,0
Fastweb,0,0
Federal Reserve Bank of Boston,324,0
Federal Reserve Bank of Chicago,0,0
AMRI,95,0
Amrock,0,0
Federated Hermes,495,0
ams AG,0,0
AmTrust Financial,43,0
Federated Insurance,506,0
Amy's,0,0
FEXCO,108,0
Anaplan,1368,0
Andersen Windows & Doors,20,0
ANSYS,0,5
FICO,82,0
Apache Corporation,234,0
Apollo Global Management,2382,0
AppDynamics,120,0
Fidelity National Financial,7,0
Fidessa,1357,0
Finastra,397,0
Firmenich,192,0
First Citizens Bank,52,0
First Horizon National,106,0
First Quality,394,0
First Republic Bank,10967,0
First Solar,0,0
Applied Industrial Technologies,3,0
First Tech Federal Credit Union,16,0
Applied Medical,26,0
Apptio,3,0
FirstEnergy,1007,0
Aptiv,136,0
Aqua America,3,0
ArcelorMittal,5,0
FIS Global,175,0
Arch Capital,1066,0
Fisher Investments,1490,0
Arctic Slope Regional Corporation,134,0
Fitbit,182,0
Fitch Ratings,0,0
Arista Networks,198,0
Arm,109,0
Five9,0,0
Flagstar Bank,338,0
Flexera,14,0
Florida Blue,227,0
Arqiva,44,0
Arthrex,0,0
Asana,991,0
Ascensus,0,0
Ashland,90,0
Fluke,17,0
ASML Holding,0,0
AssociatedBank,0,0
Fluxys,0,0
Assurant,1150,0
AstraZeneca,71,0
Asurion,378,0
FM Global,152,0
Fortive,3,0
athenahealth,24,0
Atlassian,186,0
Fortune Brands Home & Security,26,0
Forum Energy Technologies,0,0
ATN International,293,0
Fossil Group,8849,0
Freedom Mortgage,316,0
Atos Syntel,82,0
Audi,44,0
freenet group,0,0
Frequentis,9,0
Freshworks,4,0
Austin Energy,6,0
Automation Anywhere,3,0
Avalara,8,0
Frontier Communications,781,0
AVANGRID,183,0
Frost Bank,6845,0
Avery Dennison,1908,0
AvidXchange,283,0
Avigilon,0,4
Fruit of the Loom,175,0
Gallagher,436,0
Avista,95,0
Gamesys,152,0
Garmin,5,0
Avnet,139,0
AXA,83,0
Axcess Financial Services,55,0
Axis Communications,359,0
GCI,900,0
Axon,251,0
AZZ,12,0
Babcock & Wilcox,0,6
GE Grid Solutions,4209,0
Baillie Gifford International,0,0
GE Healthcare,109,0
Ball,54,0
Banca Monte dei Paschi di Siena,2475,0
Genentech,178,0
General Dynamics Mission Systems,2353,1
General Motors Financial Company,74,0
Banca Popolare di Sondrio,0,0
Banco Santander,0,0
Generali Group,0,0
Genesis Energy,17,0
Bank of Hope,5821,0
Genetec,35,0
Bank of the West,17969,0
Genex Services,0,0
Bankunited,0,0
Genuine Parts Company,22284,0
Gigamon,16509,0
Bankwest,2,0
Gilbarco Veeder-Root,0,0
Glacier Bancorp,94,0
"Glacier Bancorp, Inc.",0,0
Banque de France,636,0
GlaxoSmithKline,71,0
Basware,39,0
Bath & Body Works,0,0
Global Payments,0,0
GlobalFoundries,0,0
GlobalLogic,0,0
Baxter International,548,0
Bayer Global,1,0
BBVA,118,0
Globant,651,0
BBVA USA,862,0
BCE,1274,0
Globe Life,5,0
GoDaddy.com,20,0
Godfather's Pizza,3907,0
Godiva,0,0
Beckman Coulter Life Sciences,0,0
BECU,11576,0
GoHealth,508,0
Belastingdienst,0,0
Belkin,38,0
Golden Gate Capital,0,0
Golden State Foods,9,0
Benefit Cosmetics,25,0
Goodyear,0,0
Graco,77,0
Grange Insurance,359,0
Great Lakes Higher Education,16,0
Benjamin Moore,403,0
Great-West Lifeco,0,0
Berkley,232,0
GreatCall,12,0
Berkshire Hathaway,1710,0
Beyondsoft,11,0
Green Dot,47,0
BGL Group,12,0
Greensky,9714,0
BHP Group,221,0
Greif,1249,0
Groupe BPCE,0,0
Binance,0,0
Groupe Credit Agricole,0,0
Bio-Rad Laboratories,0,0
BioMarin,0,0
BIOTRONIK,294,0
Black & Veatch,0,0
Groupe Mutuel,0,0
GrubHub,35,0
Guggenheim Partners,1343,0
Black Knight,11,0
Gulfstream Aerospace,0,0
Haemonetics,5,0
Hanger,148,0
Hankey Investment,0,0
Blackbaud,586,0
Blackboard,14,0
Hargreaves Lansdown,0,0
Harley Davidson,103,0
Harman,9,0
BlackLine Systems,678,0
Haverty Furniture Companies,1743,0
Hawaiian Telcom,864,0
Blattner Energy,2,0
HD Supply,38,0
BLIZZARD ENTERTAINMENT,5,0
Health Care Service Corporation,87,0
HealthEquity,16,0
Bloom Energy,369,0
HealthNow New York,0,0
HealthPartners,162,0
Blue California,0,0
Henry Schein,68,0
Heraeus Group,0,0
Hershey,0,0
Blue Cross and Blue Shield of Alabama,43,0
Hilltop Holdings,39,0
Blue Cross Blue Shield,617,0
Hitachi Capital UK,0,0
Hitachi Vantara,930,0
HM Health Solutions,188,0
HMS,1146,0
Homesite,101,0
Honeywell Intelligrated,82,0
Blue Cross Blue Shield of Massachusetts,0,0
Blue Cross Blue Shield of Michigan,22,0
Blue KC,34,0
Horizon Blue Cross Blue Shield of New Jersey,0,0
Hotwire Communications,447,0
HP Inc,0,0
HSBC Bank USA,982,0
HSM Solutions,3,0
Blue Prism,97,0
HTC Global Services,302,0
BlueCross BlueShield Arizona,0,0
Hudl,209,0
Hughes Network Systems,664,0
Huntington Ingalls Industries,44,0
Hydro Tasmania,0,0
BlueCross BlueShield of South Carolina,0,0
Hyland Software,313,0
IBA,161,0
IBC Bank,684,0
iCIMS,57,0
BlueCross BlueShield of Tennessee,26,0
BMC,91,0
ICU Medical,114,0
BMO Bank of Montreal,12,0
Idaho Central Credit Union,376,0
BMW,0,0
BNP Paribas Personal Finance UK,0,0
BNZ Bank,0,0
Bonneville Power Administration,3524,0
IDC Technologies,723,0
Booking.com,148,0
IDEXX Laboratories,2,0
Bosch,68,0
IDT,0,0
Boston Scientific,15,0
IDT Biologika,0,0
Box,47,0
Boyd Corporation,95,0
If P&C Insurance,0,0
bpost bank,0,0
BRED Banque Populaire,0,0
Bremer Financial,249,0
Bridgestone Americas,142,0
Bridgewater,4,0
IFS World Operations,0,0
IG Group,52,0
IKEA,74,0
Ilitch Holdings,24,0
Brighthouse Financial,0,0
Illumina,79,0
InComm,336,0
Independence Blue Cross,115,0
Independent Financial,2,0
Indosuez Wealth Management,0,0
Brillio,64,0
Indotronix,297,0
Bristol-Myers Squibb,0,0
Infinity Insurance,362,0
Infoblox,156,8
Infor,36,2
Broadcom,0,3
Informatica,27,0
ING Bank (Australia),0,0
Broadridge Financial Solutions,78,0
Brown & Brown Insurance,103,0
ING Group,77,0
Ingersoll Rand,0,0
Brown and Caldwell,2660,0
Brown-Forman,0,0
Inmar,144,0
Brunswick,102,0
BT Group,102,0
Inmarsat,3000,21
Bunge,34,0
Inovalon,5,0
Insperity,83,0
Insurance Australia Group,0,0
Bupa Australia,0,0
Insurance Corporation of British Columbia,0,0
Butterball,11,0
Integra LifeSciences,35,0
BWX Technologies,0,0
Byrider,1,0
C & W Communications,40,0
Intel,20,0
Intercontinental Exchange,1282,0
C Spire,88,0
Intermedia,799,0
International Personal Finance,0,0
CA Cambridge Associates,0,0
Cadence Bank,10,0
Intesa Sanpaolo,631,0
Cadence Design Systems,411,0
Invesco,967,0
Invisalign,6,0
ION,0,0
IPC Systems,0,0
IQVIA,112,0
iRhythm Technologies,209,0
CAI,0,0
IRIS Software,988,0
Caisse des D√©p√¥ts,0,0
Caliber Home Loans,417,0
iRobot,112,0
California State Teachers' Retirement System,215,0
Callaway Golf,0,0
Itron,0,0
ITT,6,0
CalPERS,0,0
J. Jill,112,0
J.B. Hunt Transport,0,0
Jack Henry & Associates,29,0
Jackson National,20,0
JAGGAER,26,0
JAMF Software,4,0
Janus Henderson Investors,191,0
Jazz Pharmaceuticals,865,0
Calpine,1107,0
Cambia Health Solutions,2,0
Canaccord Genuity Group,99,0
CardWorks,0,0
JBS USA,3,0
CareCentrix,10,0
John Crane,2699,0
CareFirst,109,0
Johns Manville,0,0
CareSource,35,0
Johnson Controls,435,0
